발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012010108,주간,일,1,1,0,0,0,충남,청양군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,940016,1832833,126.830281,36.49126831,,
2012,2012010104,야간,일,1,2,1,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,911131,1861851,126.50446,36.75058052,,
2012,2012011212,주간,목,1,1,0,0,0,충남,천안시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,966331,1857321,127.1230029,36.71331193,,
2012,2012010302,야간,화,1,1,0,0,0,충남,태안군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,894123,1846409,126.3160998,36.60965565,,
2012,2012010507,주간,목,1,1,0,0,0,충남,천안시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,981851,1862244,127.2966662,36.75811427,,
2012,2012011907,주간,목,1,1,0,0,0,충남,연기군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,970902,1854063,127.1743112,36.6840921,,
2012,2012011814,주간,수,1,1,0,0,0,충남,보령시,차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,교차로,교차로부근,화물차,보행자,918416,1827843,126.5896678,36.44469073,,
2012,2012011320,야간,금,1,1,0,0,0,충남,예산군,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,없음,940370,1854130,126.8325822,36.68327106,,
2012,2012012905,야간,토,1,2,1,0,0,충남,당진시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,930701,1878548,126.7221433,36.90271799,,
2012,2012012211,주간,일,1,1,0,0,0,충남,연기군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타/불명,기타/불명,승용차,없음,986126,1837637,127.3450031,36.53635783,,
2012,2012010305,야간,화,1,1,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,901721,1886225,126.3959069,36.96933412,,
2012,2012011518,야간,일,1,1,0,0,0,충남,예산군,차대차,측면충돌,측면충돌,기타,교차로,교차로내,승용차,이륜차,928961,1862305,126.7041356,36.75617623,,
2012,2012011420,야간,토,1,1,0,0,0,충남,홍성군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,교량위,원동기장치자전거,없음,931814,1847704,126.7373966,36.62477087,,
2012,2012012013,주간,금,1,1,0,0,0,충남,부여군,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내,이륜차,승용차,939483,1798496,126.8269986,36.18169322,,
2012,2012011023,야간,화,1,2,1,0,0,충남,논산시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,건설기계,971104,1801720,127.178525,36.21221962,,
2012,2012012518,야간,수,2,2,0,0,0,충남,보령시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상,승용차,보행자,920696,1818332,126.6160774,36.35914739,,
2012,2012021715,주간,금,1,1,0,0,0,충남,청양군,차대차,측면충돌,측면충돌,기타,교차로,교차로내,화물차,원동기장치자전거,937269,1828149,126.7999926,36.44886803,,
2012,2012010510,주간,목,1,1,0,0,0,충남,태안군,차량단독,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,화물차,없음,892164,1863087,126.2918498,36.75975324,,
2012,2012012800,야간,토,1,3,1,1,0,충남,천안시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,983098,1858677,127.3107182,36.72598344,,
2012,2012012518,야간,수,1,1,0,0,0,충남,서천군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,928314,1779338,126.7045421,36.00822257,,
2012,2012021121,야간,금,1,3,2,0,0,충남,보령시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,915643,1807196,126.5609644,36.25833643,,
2012,2012020217,주간,목,1,1,0,0,0,충남,부여군,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,946907,1795167,126.9097807,36.15211723,,
2012,2012020413,주간,토,1,1,0,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,918784,1820526,126.5945395,36.37876512,,
2012,2012011113,주간,수,1,1,0,0,0,충남,아산시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,건설기계,승용차,951403,1857231,126.9558682,36.71185307,,
2012,2012010707,주간,토,1,1,0,0,0,충남,서산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,기타/불명,기타/불명,승용차,보행자,908690,1863700,126.4768977,36.76701431,,
2012,2012021018,야간,금,1,1,0,0,0,충남,보령시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상,승용차,보행자,920216,1815364,126.6110321,36.33235315,,
2012,2012021512,주간,수,2,2,0,0,0,충남,서천군,차대차,기타,기타,중앙선 침범,단일로,기타단일로,이륜차,화물차,929208,1786886,126.7137853,36.07633339,,
2012,2012010714,주간,토,3,7,2,2,0,충남,천안시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,승용차,966259,1870721,127.1216069,36.83410382,,
2012,2012020506,주간,일,1,4,3,0,0,충남,천안시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,979875,1859422,127.2746036,36.73263387,,
2012,2012011609,주간,월,1,1,0,0,0,충남,아산시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,자전거,958843,1881104,127.0378778,36.92740571,,
2012,2012012014,주간,금,1,1,0,0,0,충남,논산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,972070,1801318,127.1892861,36.20862377,,
2012,2012010623,야간,금,1,1,0,0,0,대전,유성구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,984319,1811420,127.3253496,36.29997474,,
2012,2012012100,야간,토,1,1,0,0,0,충남,논산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,승용차,보행자,964196,1794944,127.1019824,36.1508998,,
